origin_country_name,dispatch_country_name,commodity_code,steel_product_group,tonnes,value,active_months,origin_dispatch_different
Unknown / not supplied,Ireland,72042110,Ferrous waste and scrap,0.03,509,1,True
Germany,France,72169110,Angles shapes and sections,0.03,14131,1,True
United States,Brazil,72209080,Stainless steel flat products under 600mm,0.03,1124,1,True
Sweden,Netherlands,72193410,Stainless steel flat products,0.03,1418,1,True
Taiwan,Taiwan,72149939,Other bars and rods,0.03,892,1,False
Croatia,Belgium,72124080,Coated flat products under 600mm,0.03,2267,2,True
Switzerland,Belgium,72165099,Angles shapes and sections,0.03,12222,5,True
Japan,Switzerland,72230019,Stainless steel wire,0.029,874,1,True
India,India,72139190,Hot-rolled bars and rods,0.029,2264,1,False
Finland,France,72222031,Stainless steel bars sections and wire,0.029,1431,1,True
Germany,Switzerland,72222021,Stainless steel bars sections and wire,0.029,1945,1,True
Brazil,United States,72202021,Stainless steel flat products under 600mm,0.029,1271,1,True
Japan,Germany,72119080,Flat products under 600mm,0.029,1411,1,True
Croatia,Croatia,72109080,Coated or plated flat products,0.029,1122,1,False
Germany,Switzerland,72209080,Stainless steel flat products under 600mm,0.029,47526,11,True
Italy,Germany,72169900,Angles shapes and sections,0.028999999999999998,2527,2,True
Greece,Germany,72224090,Stainless steel bars sections and wire,0.028,1146,1,True
Finland,Finland,72292000,Alloy steel wire,0.028,1061,1,False
Indonesia,Indonesia,72189980,Stainless steel ingots and semi-finished,0.028,1500,1,False
India,India,72085400,Hot-rolled flat products,0.028,2572,1,False
Denmark,Denmark,72202089,Stainless steel flat products under 600mm,0.028,4106,2,False
China,France,72223097,Stainless steel bars sections and wire,0.028,3022,1,True
Unknown / not supplied,France,72224090,Stainless steel bars sections and wire,0.028,537,2,True
Unknown / not supplied,Czechia,72119080,Flat products under 600mm,0.028,185,1,True
United Kingdom,Germany,72071980,Semi-finished steel,0.028,3920,1,True
United Kingdom,Poland,72165091,Angles shapes and sections,0.028,922,1,True
Netherlands,Belgium,72071111,Semi-finished steel,0.027999999999999997,5029,2,True
Poland,Netherlands,72104100,Coated or plated flat products,0.027999999999999997,4153,2,True
Czechia,Czechia,72222089,Stainless steel bars sections and wire,0.027,1226,1,False
China,Hong Kong,72083900,Hot-rolled flat products,0.027,889,1,True
Finland,Germany,72169900,Angles shapes and sections,0.027,882,1,True
Unknown / not supplied,Italy,72223097,Stainless steel bars sections and wire,0.027,7774,1,True
Japan,Japan,72071290,Semi-finished steel,0.027,1009,1,False
Denmark,Denmark,72172010,Wire,0.027,3325,1,False
Germany,United States,72209080,Stainless steel flat products under 600mm,0.027,2661,2,True
United Kingdom,Canada,72279095,Alloy bars and rods hot-rolled,0.027,2194,1,True
Spain,Spain,72111900,Flat products under 600mm,0.027,10491,1,False
Sweden,United States,72139990,Hot-rolled bars and rods,0.027,1616,1,True
Luxembourg,Austria,72249002,Alloy steel ingots and semi-finished,0.027,2355,1,True
United Kingdom,Spain,72230011,Stainless steel wire,0.027,2619,1,True
Canada,Canada,72254060,Other alloy flat products,0.027,903,1,False
United Kingdom,Netherlands,72071980,Semi-finished steel,0.027,5006,1,True
Finland,Netherlands,72159000,Other bars and rods,0.026,2094,2,True
United Kingdom,Italy,72189980,Stainless steel ingots and semi-finished,0.026,3857,2,True
Taiwan,Taiwan,72159000,Other bars and rods,0.026,1513,1,False
United Kingdom,Finland,72189920,Stainless steel ingots and semi-finished,0.026,2225,1,True
United States,Norway,72223097,Stainless steel bars sections and wire,0.026,902,1,True
Germany,France,72209020,Stainless steel flat products under 600mm,0.026,1265,1,True
China,Norway,72224090,Stainless steel bars sections and wire,0.026,1292,1,True
Germany,Switzerland,72222031,Stainless steel bars sections and wire,0.026,4287,1,True
Czechia,France,72224090,Stainless steel bars sections and wire,0.026,1037,1,True
United Kingdom,Netherlands,72299090,Alloy steel wire,0.026,1570,1,True
United States,Switzerland,72269200,Other alloy flat products under 600mm,0.026,3608,1,True
United States,United States,72084000,Hot-rolled flat products,0.025,2672,2,False
Unknown / not supplied,Spain,72179090,Wire,0.025,117,4,True
United States,Switzerland,72223097,Stainless steel bars sections and wire,0.025,1048,1,True
China,Hong Kong,72171090,Wire,0.025,1081,1,True
Switzerland,United States,72224090,Stainless steel bars sections and wire,0.025,37992,8,True
Austria,Netherlands,72085191,Hot-rolled flat products,0.025,1000,1,True
Germany,United States,72189180,Stainless steel ingots and semi-finished,0.025,2108,1,True
Slovakia,France,72169180,Angles shapes and sections,0.025,2130,1,True
Serbia and Montenegro aggregate,Serbia and Montenegro aggregate,72072080,Semi-finished steel,0.025,1087,1,False
France,United States,72201100,Stainless steel flat products under 600mm,0.025,1176,1,True
China,Germany,72107080,Coated or plated flat products,0.025,1106,1,True
Taiwan,Taiwan,72143000,Other bars and rods,0.025,2688,1,False
Hungary,France,72149110,Other bars and rods,0.025,1777,1,True
United Kingdom,Canada,72285080,Other alloy bars rods and sections,0.025,1329,1,True
United States,United States,72132000,Hot-rolled bars and rods,0.025,7418,3,False
Unknown / not supplied,Ireland,72221189,Stainless steel bars sections and wire,0.024,26,2,True
Ukraine,Spain,72155011,Other bars and rods,0.024,20640,1,True
Netherlands,Netherlands,72285080,Other alloy bars rods and sections,0.024,7738,1,False
United States,Germany,72249002,Alloy steel ingots and semi-finished,0.024,2673,1,True
United States,China,72281090,Other alloy bars rods and sections,0.024,1843,1,True
Switzerland,Switzerland,72165099,Angles shapes and sections,0.024,10507,5,False
Austria,United States,72222029,Stainless steel bars sections and wire,0.023,1609,1,True
Canada,Canada,72283089,Other alloy bars rods and sections,0.023,1104,1,False
France,Ireland,72222031,Stainless steel bars sections and wire,0.023,1377,1,True
Italy,Italy,72126000,Coated flat products under 600mm,0.023,1248,1,False
Netherlands,France,72222031,Stainless steel bars sections and wire,0.023,16457,1,True
Denmark,Denmark,72099020,Cold-rolled flat products,0.023,955,1,False
Austria,Ireland,72222081,Stainless steel bars sections and wire,0.023,934,1,True
Japan,United States,72269200,Other alloy flat products under 600mm,0.023,2051,1,True
United Kingdom,Czechia,72103000,Coated or plated flat products,0.023,2897,2,True
Unknown / not supplied,Germany,72201200,Stainless steel flat products under 600mm,0.023,105,1,True
